episode,timestep,reward
1,288,0.0
3,576,0.0
5,864,0.0
7,1152,0.0
9,1440,0.0
11,1728,0.0
13,2016,0.0
15,2304,0.0
17,2592,0.0
19,2880,0.0
21,3168,0.0
23,3456,0.0
25,3744,0.0
27,4032,0.0
29,4320,0.0
31,4608,0.0
33,4896,0.0
35,5184,0.0
37,5472,0.0
39,5760,0.0
41,6048,0.0
43,6336,0.0
45,6624,0.0
47,6912,0.0
49,7200,0.0
51,7488,0.0
53,7776,0.0
55,8064,0.0
57,8352,0.0
59,8640,0.0
61,8928,0.0
63,9216,0.0
65,9504,0.0
68,9792,0.2958
70,10080,0.0
72,10368,0.0
75,10656,0.2229
77,10944,0.0
79,11232,0.0
81,11520,0.0
83,11808,0.0
85,12096,0.0
88,12384,0.2917
90,12672,0.0
92,12960,0.0
94,13248,0.0
96,13536,0.0
98,13824,0.0
100,14112,0.0
102,14400,0.0
104,14688,0.0
106,14976,0.0
108,15264,0.0
111,15552,0.3
113,15840,0.0
115,16128,0.0
117,16416,0.0
119,16704,0.0
121,16992,0.0
123,17280,0.0
125,17568,0.375
127,17856,0.0
130,18144,0.3125
132,18432,0.0
134,18720,0.0
136,19008,0.0
138,19296,0.0
140,19584,0.0
142,19872,0.0
144,20160,0.0
146,20448,0.0
148,20736,0.0
150,21024,0.0
152,21312,0.0
154,21600,0.0
159,21888,0.4375
161,22176,0.0
163,22464,0.0
165,22752,0.0
167,23040,0.0
169,23328,0.0
171,23616,0.0
173,23904,0.0
175,24192,0.0
177,24480,0.0
179,24768,0.3438
181,25056,0.0
183,25344,0.0
186,25632,0.2979
188,25920,0.0
190,26208,0.1875
193,26496,0.2938
195,26784,0.0
197,27072,0.0
199,27360,0.0
201,27648,0.0
203,27936,0.0
205,28224,0.0
207,28512,0.0
211,28800,0.3875
213,29088,0.0
215,29376,0.0
219,29664,0.4672
221,29952,0.1125
223,30240,0.0
225,30528,0.0
227,30816,0.1031
229,31104,0.0
231,31392,0.0
233,31680,0.2188
235,31968,0.0
237,32256,0.0
239,32544,0.0
242,32832,0.1375
244,33120,0.0
246,33408,0.0
248,33696,0.0
250,33984,0.0
252,34272,0.0
254,34560,0.0
256,34848,0.0
258,35136,0.0
260,35424,0.0
262,35712,0.0
265,36000,0.4125
267,36288,0.0
269,36576,0.0
271,36864,0.2625
273,37152,0.0
276,37440,0.2333
278,37728,0.0
280,38016,0.0
282,38304,0.0
284,38592,0.0
286,38880,0.0
288,39168,0.0
291,39456,0.2375
293,39744,0.0
295,40032,0.0
297,40320,0.0
299,40608,0.0
301,40896,0.4625
303,41184,0.0
305,41472,0.0
309,41760,0.3734
311,42048,0.0
313,42336,0.0
315,42624,0.0
317,42912,0.0
320,43200,0.2979
322,43488,0.0
324,43776,0.0
326,44064,0.0
328,44352,0.0
330,44640,0.0
332,44928,0.0
334,45216,0.0
336,45504,0.0
338,45792,0.0
340,46080,0.0
342,46368,0.2625
345,46656,0.3021
348,46944,0.2333
350,47232,0.0
352,47520,0.0
354,47808,0.0
356,48096,0.0
358,48384,0.0
360,48672,0.0
364,48960,0.4578
366,49248,0.0
368,49536,0.0
370,49824,0.0
372,50112,0.0
375,50400,0.3083
377,50688,0.0
379,50976,0.0
381,51264,0.0
383,51552,0.4281
386,51840,0.2729
390,52128,0.4688
393,52416,0.2208
396,52704,0.2917
398,52992,0.0
400,53280,0.0
402,53568,0.0
404,53856,0.0
406,54144,0.0
408,54432,0.2156
410,54720,0.0
412,55008,0.0
414,55296,0.0
416,55584,0.0
418,55872,0.0
420,56160,0.0
422,56448,0.0
424,56736,0.0
427,57024,0.3
429,57312,0.0
431,57600,0.0
434,57888,0.5812
437,58176,0.3021
439,58464,0.0
443,58752,0.3141
445,59040,0.0
447,59328,0.3031
449,59616,0.0
453,59904,0.4453
455,60192,0.0
457,60480,0.0
460,60768,0.2979
