episode,timestep,reward
1,288,0.0
3,576,0.0
7,864,0.2766
9,1152,0.0
11,1440,0.0
13,1728,0.0
15,2016,0.0
17,2304,0.2219
19,2592,0.0
21,2880,0.0
23,3168,0.2125
25,3456,0.0
27,3744,0.0
29,4032,0.0
31,4320,0.0
34,4608,0.2125
36,4896,0.0
38,5184,0.0
40,5472,0.0
42,5760,0.0
44,6048,0.0
47,6336,0.3083
49,6624,0.0
51,6912,0.0
53,7200,0.0
55,7488,0.2938
58,7776,0.1396
60,8064,0.0
62,8352,0.0
64,8640,0.0
66,8928,0.0
68,9216,0.0
70,9504,0.375
72,9792,0.0
74,10080,0.1469
76,10368,0.0
78,10656,0.0
81,10944,0.275
83,11232,0.0
87,11520,0.3391
89,11808,0.4062
91,12096,0.0
93,12384,0.0
95,12672,0.0
97,12960,0.0
100,13248,0.1917
102,13536,0.3156
104,13824,0.0
108,14112,0.3359
110,14400,0.0
112,14688,0.0
114,14976,0.0
116,15264,0.1031
119,15552,0.2687
121,15840,0.3281
126,16128,0.4637
128,16416,0.0
130,16704,0.4406
132,16992,0.0
134,17280,0.0
138,17568,0.3922
141,17856,0.2708
144,18144,0.2854
146,18432,0.4219
149,18720,0.3958
152,19008,0.3062
154,19296,0.0
156,19584,0.0
160,19872,0.4094
164,20160,0.4078
166,20448,0.0
168,20736,0.0
170,21024,0.4437
173,21312,0.0771
175,21600,0.4625
179,21888,0.3969
182,22176,0.2354
184,22464,0.0
187,22752,0.3438
189,23040,0.0
192,23328,0.4208
194,23616,0.0
197,23904,0.2896
199,24192,0.0
201,24480,0.0
206,24768,0.7175
208,25056,0.0
211,25344,0.25
214,25632,0.35
216,25920,0.0
218,26208,0.0
221,26496,0.4354
225,26784,0.4156
227,27072,0.0
229,27360,0.0
232,27648,0.3104
234,27936,0.1562
238,28224,0.4375
240,28512,0.0
242,28800,0.4094
244,29088,0.0
247,29376,0.2042
250,29664,0.2458
255,29952,0.6775
257,30240,0.1687
262,30528,0.505
266,30816,0.6016
268,31104,0.2812
271,31392,0.2188
274,31680,0.25
277,31968,0.2833
280,32256,0.4604
282,32544,0.0
285,32832,0.275
290,33120,0.65
292,33408,0.2031
295,33696,0.2563
297,33984,0.0
300,34272,0.2312
303,34560,0.3875
305,34848,0.0
307,35136,0.0
309,35424,0.0
312,35712,0.2563
315,36000,0.4625
317,36288,0.0
319,36576,0.0
321,36864,0.35
323,37152,0.0
327,37440,0.3719
329,37728,0.0
331,38016,0.0
335,38304,0.5016
337,38592,0.0
339,38880,0.0
342,39168,0.2896
344,39456,0.0
346,39744,0.0
348,40032,0.0
351,40320,0.3042
354,40608,0.4542
356,40896,0.0
358,41184,0.0
361,41472,0.2771
363,41760,0.0
366,42048,0.4958
369,42336,0.1792
371,42624,0.0
374,42912,0.5146
376,43200,0.2125
378,43488,0.0
383,43776,0.45
386,44064,0.3729
388,44352,0.3719
390,44640,0.0
393,44928,0.2312
395,45216,0.0
397,45504,0.0
399,45792,0.2625
402,46080,0.2833
406,46368,0.5094
411,46656,0.5025
416,46944,0.715
419,47232,0.2958
422,47520,0.2354
424,47808,0.1344
427,48096,0.2854
429,48384,0.0
431,48672,0.0
435,48960,0.5766
437,49248,0.0
440,49536,0.3042
442,49824,0.0
444,50112,0.0
446,50400,0.0
450,50688,0.4531
452,50976,0.0
455,51264,0.5917
458,51552,0.1333
460,51840,0.0
462,52128,0.0
465,52416,0.5125
468,52704,0.225
470,52992,0.0
472,53280,0.0
475,53568,0.3396
478,53856,0.3604
481,54144,0.6188
485,54432,0.3844
488,54720,0.2271
492,55008,0.5641
494,55296,0.3344
497,55584,0.275
500,55872,0.1625
502,56160,0.4125
504,56448,0.0
510,56736,0.5792
512,57024,0.0
514,57312,0.0
516,57600,0.0
519,57888,0.2625
521,58176,0.0
524,58464,0.4667
526,58752,0.1156
528,59040,0.1906
