episode,timestep,reward
1,288,0.0
3,576,0.0
5,864,0.0
7,1152,0.0
10,1440,0.3062
12,1728,0.0
14,2016,0.0
16,2304,0.0
18,2592,0.0
20,2880,0.0
22,3168,0.0
24,3456,0.0875
26,3744,0.0
28,4032,0.0
30,4320,0.0
33,4608,0.2292
35,4896,0.0
37,5184,0.0
39,5472,0.0562
41,5760,0.0
44,6048,0.2063
46,6336,0.0
48,6624,0.0
50,6912,0.0
52,7200,0.0
54,7488,0.0
56,7776,0.0
58,8064,0.1219
60,8352,0.2156
62,8640,0.0
66,8928,0.3641
68,9216,0.0
70,9504,0.0
73,9792,0.3958
76,10080,0.3083
78,10368,0.2875
82,10656,0.375
84,10944,0.2281
87,11232,0.3062
90,11520,0.3042
92,11808,0.2406
95,12096,0.2729
98,12384,0.2729
101,12672,0.5229
103,12960,0.125
107,13248,0.5672
109,13536,0.0
111,13824,0.0
113,14112,0.0
117,14400,0.3359
121,14688,0.5875
125,14976,0.4344
127,15264,0.275
130,15552,0.2958
132,15840,0.0656
135,16128,0.2875
137,16416,0.0
140,16704,0.3896
143,16992,0.2646
146,17280,0.5062
148,17568,0.0
150,17856,0.0
153,18144,0.2729
158,18432,0.6837
163,18720,0.6125
166,19008,0.2729
169,19296,0.375
172,19584,0.2479
175,19872,0.4958
178,20160,0.2792
181,20448,0.2729
183,20736,0.0
185,21024,0.0
188,21312,0.3062
192,21600,0.6156
194,21888,0.0
197,22176,0.4375
201,22464,0.4578
203,22752,0.0
206,23040,0.2708
208,23328,0.0
210,23616,0.375
213,23904,0.2792
215,24192,0.0
218,24480,0.2729
221,24768,0.3167
225,25056,0.5359
227,25344,0.0
229,25632,0.0
232,25920,0.2271
234,26208,0.0687
236,26496,0.4281
240,26784,0.3891
242,27072,0.1719
245,27360,0.1958
248,27648,0.4771
251,27936,0.225
253,28224,0.0
256,28512,0.4896
260,28800,0.5188
264,29088,0.4844
267,29376,0.2479
270,29664,0.475
274,29952,0.6469
276,30240,0.0
280,30528,0.425
283,30816,0.3396
285,31104,0.1031
288,31392,0.4062
290,31680,0.0
292,31968,0.2875
296,32256,0.5219
299,32544,0.2042
301,32832,0.0
304,33120,0.3604
308,33408,0.5047
310,33696,0.0625
312,33984,0.1031
317,34272,0.615
319,34560,0.0
321,34848,0.2
324,35136,0.4958
328,35424,0.3531
332,35712,0.6437
338,36000,0.6208
342,36288,0.5094
346,36576,0.5297
350,36864,0.5359
353,37152,0.5333
358,37440,0.5375
362,37728,0.5609
369,38016,0.7054
375,38304,0.6479
381,38592,0.6937
383,38880,0.0
389,39168,0.7344
391,39456,0.0
400,39744,0.7528
409,40032,0.8222
416,40320,0.7438
420,40608,0.4469
424,40896,0.6609
430,41184,0.624
437,41472,0.7277
443,41760,0.7979
450,42048,0.6464
457,42336,0.7518
462,42624,0.6
472,42912,0.8306
478,43200,0.7115
487,43488,0.7826
494,43776,0.733
496,44064,0.2875
504,44352,0.7258
510,44640,0.6906
516,44928,0.7292
518,45216,0.2625
528,45504,0.7481
536,45792,0.8406
546,46080,0.7494
557,46368,0.8278
569,46656,0.8547
575,46944,0.8083
583,47232,0.6836
594,47520,0.8381
604,47808,0.8069
612,48096,0.7961
620,48384,0.7391
635,48672,0.8775
648,48960,0.8716
662,49248,0.8652
682,49536,0.9091
696,49824,0.8741
712,50112,0.8906
727,50400,0.8837
737,50688,0.7962
750,50976,0.8611
765,51264,0.8783
780,51552,0.8825
793,51840,0.8639
813,52128,0.9072
828,52416,0.8896
844,52704,0.8805
865,52992,0.9125
881,53280,0.8895
900,53568,0.9043
918,53856,0.9038
937,54144,0.901
955,54432,0.9017
976,54720,0.9143
995,55008,0.9082
1015,55296,0.9109
1036,55584,0.9095
1057,55872,0.9167
1077,56160,0.9069
1088,56448,0.8915
1104,56736,0.8492
1125,57024,0.9152
1138,57312,0.8481
