episode,timestep,reward
1,288,0.0
3,576,0.0
5,864,0.0
7,1152,0.0
9,1440,0.0
11,1728,0.0
13,2016,0.0
15,2304,0.0
17,2592,0.0
19,2880,0.0
21,3168,0.0
23,3456,0.0
25,3744,0.0
27,4032,0.0
29,4320,0.0
31,4608,0.0
33,4896,0.0
35,5184,0.0
37,5472,0.0
39,5760,0.0
41,6048,0.0
43,6336,0.0
45,6624,0.0
47,6912,0.0
49,7200,0.0
51,7488,0.0
53,7776,0.0
55,8064,0.0
57,8352,0.0
59,8640,0.0
61,8928,0.0
63,9216,0.0
65,9504,0.0
67,9792,0.0
69,10080,0.0
71,10368,0.0
73,10656,0.0
75,10944,0.0
77,11232,0.0
79,11520,0.0
81,11808,0.0
83,12096,0.0
85,12384,0.0
87,12672,0.0
89,12960,0.0
91,13248,0.0
93,13536,0.0
95,13824,0.0
97,14112,0.0
99,14400,0.0
101,14688,0.0
103,14976,0.0
105,15264,0.0
107,15552,0.0
109,15840,0.0
111,16128,0.0
113,16416,0.0
115,16704,0.0
117,16992,0.0
119,17280,0.0
121,17568,0.0
123,17856,0.0
125,18144,0.0
127,18432,0.0
129,18720,0.0
131,19008,0.0
133,19296,0.0
135,19584,0.0
137,19872,0.0
139,20160,0.0
141,20448,0.0
143,20736,0.0
145,21024,0.0
147,21312,0.0
149,21600,0.0
151,21888,0.0
153,22176,0.0
155,22464,0.0
157,22752,0.0
159,23040,0.0
161,23328,0.0
163,23616,0.0
165,23904,0.0
167,24192,0.0
169,24480,0.0
171,24768,0.0
173,25056,0.0
175,25344,0.0
177,25632,0.0
179,25920,0.0
181,26208,0.0
183,26496,0.0
185,26784,0.0
187,27072,0.0
189,27360,0.0
191,27648,0.0
193,27936,0.0
195,28224,0.0
197,28512,0.0
199,28800,0.0
201,29088,0.0
203,29376,0.0
205,29664,0.0
207,29952,0.0
209,30240,0.0
211,30528,0.0
213,30816,0.0
215,31104,0.0
217,31392,0.0
219,31680,0.0
221,31968,0.0
223,32256,0.0
225,32544,0.0
227,32832,0.0
229,33120,0.0
231,33408,0.0
233,33696,0.0
235,33984,0.0
237,34272,0.0
239,34560,0.0
241,34848,0.0
243,35136,0.0
246,35424,0.05
248,35712,0.0
250,36000,0.0
252,36288,0.0
254,36576,0.0
256,36864,0.0
258,37152,0.0
260,37440,0.0
262,37728,0.0
264,38016,0.0
266,38304,0.2438
268,38592,0.0
270,38880,0.0
272,39168,0.0
274,39456,0.0
276,39744,0.0
278,40032,0.0
280,40320,0.0
282,40608,0.0
284,40896,0.0
286,41184,0.0
288,41472,0.0
290,41760,0.0
292,42048,0.0
294,42336,0.0
296,42624,0.0
298,42912,0.0
300,43200,0.0
302,43488,0.0
304,43776,0.0
306,44064,0.0
308,44352,0.0
310,44640,0.0
312,44928,0.0
314,45216,0.0
316,45504,0.0
318,45792,0.0
320,46080,0.0
322,46368,0.0
324,46656,0.0
326,46944,0.0
328,47232,0.0
330,47520,0.0
332,47808,0.0
334,48096,0.0
336,48384,0.0
338,48672,0.1344
340,48960,0.0
342,49248,0.0
344,49536,0.0
346,49824,0.0
348,50112,0.0
350,50400,0.0
352,50688,0.0
354,50976,0.0
356,51264,0.0
358,51552,0.0
360,51840,0.0
362,52128,0.0
364,52416,0.0
366,52704,0.0
368,52992,0.1687
370,53280,0.0
372,53568,0.0
374,53856,0.0
376,54144,0.0
378,54432,0.0
380,54720,0.0
382,55008,0.0
385,55296,0.1667
387,55584,0.0
389,55872,0.0
391,56160,0.0
393,56448,0.0
395,56736,0.0
397,57024,0.0
399,57312,0.0
401,57600,0.0
403,57888,0.0
405,58176,0.0
407,58464,0.0
409,58752,0.0
411,59040,0.0
413,59328,0.0
415,59616,0.0
417,59904,0.0
419,60192,0.05
421,60480,0.0
423,60768,0.0
425,61056,0.0
427,61344,0.0
429,61632,0.0
431,61920,0.0
